year_month,Sora,文生视频,AI视频,可灵,即梦,lambda_t,time_trend,total_lambda
2023-01-01,0.0,0.0,2.4,0.0,0.0,0.0096,0.0,0.0096
2023-02-01,0.25,0.0,5.25,0.0,0.0,0.0215,0.008571428571428572,0.03007142857142857
2023-03-01,0.0,0.0,9.5,0.0,0.0,0.038000000000000006,0.017142857142857144,0.055142857142857146
2023-04-01,0.0,0.0,11.2,0.0,0.0,0.04479999999999999,0.025714285714285717,0.07051428571428571
2023-05-01,0.25,0.0,13.0,0.0,0.0,0.0525,0.03428571428571429,0.08678571428571429
2023-06-01,0.75,0.0,12.25,0.0,0.0,0.05050000000000001,0.04285714285714286,0.09335714285714286
2023-07-01,0.4,0.0,10.8,0.0,0.0,0.044000000000000004,0.051428571428571435,0.09542857142857145
2023-08-01,0.0,0.0,10.5,0.0,0.0,0.042,0.060000000000000005,0.10200000000000001
2023-09-01,0.0,0.0,11.0,0.0,0.0,0.044000000000000004,0.06857142857142857,0.11257142857142857
2023-10-01,0.0,0.0,10.6,0.0,0.0,0.0424,0.07714285714285715,0.11954285714285715
2023-11-01,0.25,0.0,18.25,0.0,0.0,0.07350000000000001,0.08571428571428572,0.15921428571428572
2023-12-01,0.2,0.0,18.0,0.0,0.0,0.0724,0.09428571428571429,0.1666857142857143
2024-01-01,0.75,0.0,18.25,0.0,0.0,0.07450000000000001,0.10285714285714287,0.17735714285714288
2024-02-01,43.75,38.25,24.5,0.0,0.0,0.1855,0.11142857142857143,0.29692857142857143
2024-03-01,10.0,0.0,20.8,0.0,0.0,0.1032,0.12000000000000001,0.2232
2024-04-01,4.75,0.0,17.0,0.0,0.0,0.07750000000000001,0.1285714285714286,0.2060714285714286
2024-05-01,3.0,0.0,19.0,0.0,0.0,0.08200000000000002,0.13714285714285715,0.21914285714285717
2024-06-01,3.0,11.2,21.2,27.4,0.0,0.1456,0.1457142857142857,0.29131428571428575
2024-07-01,2.5,0.0,21.5,54.0,0.0,0.19899999999999998,0.1542857142857143,0.3532857142857143
2024-08-01,2.0,0.0,20.0,28.5,1.5,0.14400000000000002,0.16285714285714287,0.3068571428571429
2024-09-01,1.4,13.6,19.0,24.0,1.4,0.12960000000000002,0.17142857142857143,0.3010285714285714
2024-10-01,2.0,0.0,19.5,27.25,3.5,0.14350000000000002,0.18000000000000002,0.3235
2024-11-01,1.75,0.0,18.75,30.75,8.0,0.156,0.18857142857142858,0.3445714285714286
2024-12-01,8.4,12.2,22.2,48.4,20.2,0.24280000000000002,0.19714285714285715,0.4399428571428572
2025-01-01,3.25,0.0,28.25,53.0,16.75,0.25900000000000006,0.20571428571428574,0.4647142857142858
2025-02-01,2.5,0.0,30.5,82.75,38.25,0.369,0.2142857142857143,0.5832857142857143
2025-03-01,2.6,11.4,29.6,64.4,45.4,0.3432,0.22285714285714286,0.5660571428571428
2025-04-01,3.0,0.0,22.75,70.75,49.25,0.337,0.23142857142857143,0.5684285714285715
2025-05-01,2.75,0.0,24.5,57.5,55.5,0.3295,0.24000000000000002,0.5695
2025-06-01,2.4,0.0,28.6,66.6,63.4,0.37920000000000004,0.24857142857142858,0.6277714285714286
2025-07-01,2.75,22.5,26.75,60.0,70.75,0.374,0.2571428571428572,0.6311428571428572
2025-08-01,2.0,0.0,27.8,61.6,65.0,0.36840000000000006,0.26571428571428574,0.6341142857142859
2025-09-01,9.0,0.0,42.25,50.0,80.75,0.44850000000000007,0.2742857142857143,0.7227857142857144
2025-10-01,28.75,0.0,81.0,49.0,79.5,0.6385000000000001,0.28285714285714286,0.921357142857143
2025-11-01,12.4,8.0,97.2,56.2,86.4,0.6988,0.2914285714285714,0.9902285714285715
2025-12-01,8.5,10.0,52.5,42.0,69.0,0.44900000000000007,0.3,0.7490000000000001
