year_month,Sora,文生视频,AI视频,可灵,即梦
2023-01-01,0.0,0.0,2.4,0.0,0.0
2023-02-01,0.25,0.0,5.25,0.0,0.0
2023-03-01,0.0,0.0,9.5,0.0,0.0
2023-04-01,0.0,0.0,11.2,0.0,0.0
2023-05-01,0.25,0.0,13.0,0.0,0.0
2023-06-01,0.75,0.0,12.25,0.0,0.0
2023-07-01,0.4,0.0,10.8,0.0,0.0
2023-08-01,0.0,0.0,10.5,0.0,0.0
2023-09-01,0.0,0.0,11.0,0.0,0.0
2023-10-01,0.0,0.0,10.6,0.0,0.0
2023-11-01,0.25,0.0,18.25,0.0,0.0
2023-12-01,0.2,0.0,18.0,0.0,0.0
2024-01-01,0.75,0.0,18.25,0.0,0.0
2024-02-01,43.75,38.25,24.5,0.0,0.0
2024-03-01,10.0,0.0,20.8,0.0,0.0
2024-04-01,4.75,0.0,17.0,0.0,0.0
2024-05-01,3.0,0.0,19.0,0.0,0.0
2024-06-01,3.0,11.2,21.2,27.4,0.0
2024-07-01,2.5,0.0,21.5,54.0,0.0
2024-08-01,2.0,0.0,20.0,28.5,1.5
2024-09-01,1.4,13.6,19.0,24.0,1.4
2024-10-01,2.0,0.0,19.5,27.25,3.5
2024-11-01,1.75,0.0,18.75,30.75,8.0
2024-12-01,8.4,12.2,22.2,48.4,20.2
2025-01-01,3.25,0.0,28.25,53.0,16.75
2025-02-01,2.5,0.0,30.5,82.75,38.25
2025-03-01,2.6,11.4,29.6,64.4,45.4
2025-04-01,3.0,0.0,22.75,70.75,49.25
2025-05-01,2.75,0.0,24.5,57.5,55.5
2025-06-01,2.4,0.0,28.6,66.6,63.4
2025-07-01,2.75,22.5,26.75,60.0,70.75
2025-08-01,2.0,0.0,27.8,61.6,65.0
2025-09-01,9.0,0.0,42.25,50.0,80.75
2025-10-01,28.75,0.0,81.0,49.0,79.5
2025-11-01,12.4,8.0,97.2,56.2,86.4
2025-12-01,8.5,10.0,52.5,42.0,69.0
