year_month,Sora,文生视频,AI视频,可灵,即梦,lambda_t,time_trend,total_lambda,薪资_传统剪辑,薪资_AI剪辑
2023-01-01,0.0,0.0,2.4,0.0,0.0,0.0096,0.0,0.0096,5739.696622781911,5756.226949055523
2023-02-01,0.25,0.0,5.25,0.0,0.0,0.0215,0.0085714285714285,0.0300714285714285,5726.924728105324,5763.863392601604
2023-03-01,0.0,0.0,9.5,0.0,0.0,0.038,0.0171428571428571,0.0551428571428571,5709.215798511735,5774.300858614769
2023-04-01,0.0,0.0,11.2,0.0,0.0,0.0447999999999999,0.0257142857142857,0.0705142857142857,5701.9175729822555,5778.551345163137
2023-05-01,0.25,0.0,13.0,0.0,0.0,0.0525,0.0342857142857142,0.0867857142857142,5693.6534058385805,5783.328446980538
2023-06-01,0.75,0.0,12.25,0.0,0.0,0.0505,0.0428571428571428,0.0933571428571428,5695.799942759016,5782.091311891815
2023-07-01,0.4,0.0,10.8,0.0,0.0,0.044,0.0514285714285714,0.0954285714285714,5702.776187750429,5778.0528334287355
2023-08-01,0.0,0.0,10.5,0.0,0.0,0.042,0.06,0.102,5704.922724670864,5776.804751001717
2023-09-01,0.0,0.0,11.0,0.0,0.0,0.044,0.0685714285714285,0.1125714285714285,5702.776187750429,5778.0528334287355
2023-10-01,0.0,0.0,10.6,0.0,0.0,0.0424,0.0771428571428571,0.1195428571428571,5704.493417286778,5777.054573554666
2023-11-01,0.25,0.0,18.25,0.0,0.0,0.0735,0.0857142857142857,0.1592142857142857,5671.114768174012,5796.162848812249
2023-12-01,0.2,0.0,18.0,0.0,0.0,0.0724,0.0942857142857142,0.1666857142857143,5672.295363480252,5795.497618775043
2024-01-01,0.75,0.0,18.25,0.0,0.0,0.0745,0.1028571428571428,0.1773571428571428,5670.041499713795,5796.766927232399
2024-02-01,43.75,38.25,24.5,0.0,0.0,0.1855,0.1114285714285714,0.2969285714285714,5550.908700629651,5859.816769819691
2024-03-01,10.0,0.0,20.8,0.0,0.0,0.1032,0.12,0.2232,5639.238694905553,5813.829524899829
2024-04-01,4.75,0.0,17.0,0.0,0.0,0.0775,0.1285714285714286,0.2060714285714286,5666.821694333143,5798.575298726389
2024-05-01,3.0,0.0,19.0,0.0,0.0,0.082,0.1371428571428571,0.2191428571428571,5661.991986262164,5801.276989124212
2024-06-01,3.0,11.2,21.2,27.4,0.0,0.1456,0.1457142857142857,0.2913142857142857,5593.73211219233,5838.06633085289
2024-07-01,2.5,0.0,21.5,54.0,0.0,0.1989999999999999,0.1542857142857143,0.3532857142857143,5536.419576416714,5866.943825128791
2024-08-01,2.0,0.0,20.0,28.5,1.5,0.144,0.1628571428571428,0.3068571428571429,5595.449341728678,5837.172753291356
2024-09-01,1.4,13.6,19.0,24.0,1.4,0.1296,0.1714285714285714,0.3010285714285714,5610.90440755581,5829.05637092158
2024-10-01,2.0,0.0,19.5,27.25,3.5,0.1435,0.18,0.3235,5595.985975958786,5836.893172223812
2024-11-01,1.75,0.0,18.75,30.75,8.0,0.156,0.1885714285714285,0.3445714285714286,5582.570120206067,5843.834401831711
2024-12-01,8.4,12.2,22.2,48.4,20.2,0.2428,0.1971428571428571,0.4399428571428572,5489.410417859187,5889.259072696051
2025-01-01,3.25,0.0,28.25,53.0,16.75,0.259,0.2057142857142857,0.4647142857142858,5472.023468803664,5897.199692329709
2025-02-01,2.5,0.0,30.5,82.75,38.25,0.369,0.2142857142857143,0.5832857142857143,5353.963938179737,5946.647746136234
2025-03-01,2.6,11.4,29.6,64.4,45.4,0.3432,0.2228571428571428,0.5660571428571428,5381.654264453348,5935.749387521465
2025-04-01,3.0,0.0,22.75,70.75,49.25,0.337,0.2314285714285714,0.5684285714285715,5388.308528906697,5933.066521179164
2025-05-01,2.75,0.0,24.5,57.5,55.5,0.3295,0.24,0.5695,5396.358042358329,5929.78803484545
2025-06-01,2.4,0.0,28.6,66.6,63.4,0.3792,0.2485714285714285,0.6277714285714286,5343.016599885518,5950.838168288496
2025-07-01,2.75,22.5,26.75,60.0,70.75,0.374,0.2571428571428572,0.6311428571428572,5348.597595878649,5948.710246136235
2025-08-01,2.0,0.0,27.8,61.6,65.0,0.3684,0.2657142857142857,0.6341142857142859,5354.607899255868,5946.399164281626
2025-09-01,9.0,0.0,42.25,50.0,80.75,0.4485,0.2742857142857143,0.7227857142857144,5268.639095592444,5977.534485904407
2025-10-01,28.75,0.0,81.0,49.0,79.5,0.6385000000000001,0.2828571428571428,0.921357142857143,5064.718088151117,6034.864837936464
2025-11-01,12.4,8.0,97.2,56.2,86.4,0.6988,0.2914285714285714,0.9902285714285716,5000.0,6048.2
2025-12-01,8.5,10.0,52.5,42.0,69.0,0.449,0.3,0.7490000000000001,5268.102461362335,5977.715862907841
